Houston-The Woodlands-Sugar Land, 43479780
Dallas-Fort Worth-Arlington, 42112539
Chicago-Naperville-Elgin, 25351283
New York-Newark-Jersey City, 21076415
San Antonio-New Braunfels, 14450810
Oklahoma City, 12950381
Austin-Round Rock, 12622374
Kansas City, 11513773
Tampa-St. Petersburg-Clearwater, 11489475
Minneapolis-St. Paul-Bloomington, 10867625
Washington-Arlington-Alexandria, 9435902
Detroit-Warren-Dearborn, 9056062
Atlanta-Sandy Springs-Roswell, 8679835
Tulsa, 8651131
St. Louis, 8629086
Tallahassee, 8234583
Denver-Aurora-Lakewood, 7454202
Cleveland-Elyria, 5987873
Miami-Fort Lauderdale-West Palm Beach, 5471905
Wichita, 5471049
Baton Rouge, 5174371
Los Angeles-Long Beach-Anaheim, 4890075
Philadelphia-Camden-Wilmington, 4582386
Boston-Cambridge-Newton, 4329927
New Orleans-Metairie, 4200579
Little Rock-North Little Rock-Conway, 4181589
Rochester, 3967024
Indianapolis-Carmel-Anderson, 3667555
Birmingham-Hoover, 3612413
Columbus, 3375039
Akron, 3056946
McAllen-Edinburg-Mission, 3050037
Nashville-Davidson--Murfreesboro--Franklin, 3002687
Omaha-Council Bluffs, 2991910
Memphis, 2943016
Buffalo-Cheektowaga-Niagara Falls, 2937490
Lafayette, 2888424
North Port-Sarasota-Bradenton, 2856321
San Diego-Carlsbad, 2660156
Colorado Springs, 2659364
Shreveport-Bossier City, 2626337
Fayetteville-Springdale-Rogers, 2580168
Baltimore-Columbia-Towson, 2512261
Syracuse, 2368091
Raleigh, 2353364
Fort Smith, 2335991
Pittsburgh, 2328481
Lubbock, 2264822
Mobile, 2212605
Louisville/Jefferson County, 2209281
Cincinnati, 2170943
Virginia Beach-Norfolk-Newport News, 2126893
Killeen-Temple, 2110128
Phoenix-Mesa-Scottsdale, 2093557
Grand Rapids-Wyoming, 2024574
Lincoln, 1957259
Wichita Falls, 1926022
Jackson, 1850130
Milwaukee-Waukesha-West Allis, 1826424
San Juan-Carolina-Caguas, 1786353
Youngstown-Warren-Boardman, 1781506
Richmond, 1780420
Madison, 1711224
Toledo, 1706951
Salt Lake City, 1649276
Topeka, 1633968
Ogden-Clearfield, 1611082
Cape Coral-Fort Myers, 1600253
Corpus Christi, 1574779
Harrisburg-Carlisle, 1570377
Lawton, 1555611
Springfield, 1546855
Montgomery, 1546669
Chattanooga, 1470309
Albuquerque, 1466033
Fort Collins, 1458548
Tyler, 1455299
Orlando-Kissimmee-Sanford, 1448564
Seattle-Tacoma-Bellevue, 1377314
Huntsville, 1368836
Providence-Warwick, 1366352
Fort Wayne, 1362713
Elizabethtown-Fort Knox, 1329400
Pensacola-Ferry Pass-Brent, 1249677
Boulder, 1238709
Wilmington, 1221015
Charlotte-Concord-Gastonia, 1213695
Dayton, 1213266
Worcester, 1211165
Longview, 1191070
York-Hanover, 1187834
Monroe, 1173347
Davenport-Moline-Rock Island, 1164411
Clarksville, 1159340
Flint, 1156106
Amarillo, 1130499
Peoria, 1128718
Lexington-Fayette, 1126750
Sherman-Denison, 1114276
Ann Arbor, 1109878
Portland-Vancouver-Hillsboro, 1107589
Myrtle Beach-Conway-North Myrtle Beach, 1088025
Lancaster, 1087972
Riverside-San Bernardino-Ontario, 1083080
Bridgeport-Stamford-Norwalk, 1082526
Alexandria, 1079457
College Station-Bryan, 1022022
Charleston-North Charleston, 1013670
Fargo, 990782
Rockford, 965599
Utica-Rome, 958066
Beaumont-Port Arthur, 950050
St. Joseph, 948086
Hartford-West Hartford-East Hartford, 935007
Naples-Immokalee-Marco Island, 917283
Evansville, 901363
Rochester, 880723
Sacramento--Roseville--Arden-Arcade, 879803
Des Moines-West Des Moines, 869418
Scranton--Wilkes-Barre--Hazleton, 867502
Greenville-Anderson-Mauldin, 846938
Springfield, 810301
Brownsville-Harlingen, 805751
Waco, 796915
Fayetteville, 789892
Spartanburg, 774617
Texarkana, 758113
Hattiesburg, 746253
Hammond, 738154
Tuscaloosa, 731115
Champaign-Urbana, 730736
Lansing-East Lansing, 729209
Eau Claire, 722805
Lafayette-West Lafayette, 721886
Knoxville, 720371
Lawrence, 716997
Joplin, 716893
Erie, 707245
Bowling Green, 706846
La Crosse-Onalaska, 705624
Columbia, 704685
Jefferson City, 693983
Kalamazoo-Portage, 693085
Cedar Rapids, 691818
Hagerstown-Martinsburg, 690485
Gulfport-Biloxi-Pascagoula, 685405
Bloomington, 681435
San Jose-Sunnyvale-Santa Clara, 680575
Bismarck, 679825
Green Bay, 679386
Portland-South Portland, 672764
El Paso, 660991
Jackson, 654938
Oshkosh-Neenah, 654312
Jacksonville, 651871
Rapid City, 650560
Columbus, 642140
Manhattan, 640697
Florence-Muscle Shoals, 639276
Reading, 637084
Decatur, 636829
Lebanon, 632705
San Angelo, 629910
St. Cloud, 626320
Logan, 596392
Sioux Falls, 591075
Daphne-Fairhope-Foley, 584991
Greeley, 583107
Boise City, 579708
Jacksonville, 579561
Columbia, 543802
Binghamton, 538937
Jonesboro, 537479
New Haven-Milford, 536862
Reno, 532788
Greenville, 531322
Lake Charles, 530095
Terre Haute, 526443
Fresno, 521625
Victoria, 519780
Roanoke, 513956
Gadsden, 511443
Abilene, 508304
Iowa City, 506219
Auburn-Opelika, 501328
South Bend-Mishawaka, 499588
Jackson, 493552
Pueblo, 475912
Springfield, 468679
Muncie, 461271
Racine, 455705
Mansfield, 453624
Battle Creek, 447120
Spokane-Spokane Valley, 443851
Las Vegas-Henderson-Paradise, 433253
Dubuque, 430773
Cheyenne, 424111
Decatur, 418230
Waterloo-Cedar Falls, 418182
Niles-Benton Harbor, 416024
Savannah, 415569
Lynchburg, 404800
Blacksburg-Christiansburg-Radford, 402255
Wausau, 399872
Lima, 392849
Greensboro-High Point, 390717
Gainesville, 387244
Warner Robins, 382532
Salisbury, 379524
Idaho Falls, 378848
Wheeling, 377532
Sheboygan, 370080
Gainesville, 360857
Bangor, 355920
Punta Gorda, 348741
Staunton-Waynesboro, 344926
Deltona-Daytona Beach-Ormond Beach, 344615
Urban Honolulu, 339687
Albany, 336961
Port St. Lucie, 335537
Charlottesville, 332508
Billings, 332101
San Francisco-Oakland-Hayward, 331793
Augusta-Richmond County, 331211
Duluth, 329128
Ithaca, 326635
Muskegon, 325730
Palm Bay-Melbourne-Titusville, 319280
Winston-Salem, 311132
Asheville, 306672
Hickory-Lenoir-Morganton, 306647
Grand Forks, 302046
Williamsport, 298260
Athens-Clarke County, 296533
Albany-Schenectady-Troy, 294855
Lakeland-Winter Haven, 291933
Fond du Lac, 290013
Kokomo, 289607
Burlington-South Burlington, 284259
Kingsport-Bristol-Bristol, 278811
Anchorage, 277792
Saginaw, 273016
Rome, 271858
Bend-Redmond, 271768
New Bern, 270372
Allentown-Bethlehem-Easton, 269696
Sioux City, 269245
Johnstown, 265822
Charleston, 262996
Kankakee, 259503
Danville, 252737
Salem, 252516
Durham-Chapel Hill, 249646
Odessa, 249324
Midland, 245160
Carbondale-Marion, 245135
Norwich-New London, 240834
Huntington-Ashland, 232528
Casper, 229363
Prescott, 226503
Hilton Head Island-Bluffton-Beaufort, 226031
Kennewick-Richland, 224921
Grand Junction, 219417
Rocky Mount, 218709
Panama City, 216696
Great Falls, 216152
Las Cruces, 215812
Bakersfield, 215731
Vineland-Bridgeton, 214049
Anniston-Oxford-Jacksonville, 213285
Winchester, 210776
Bloomington, 208671
Mankato-North Mankato, 207788
Eugene, 204252
Elkhart-Goshen, 196921
Crestview-Fort Walton Beach-Destin, 194606
Michigan City-La Porte, 193912
Houma-Thibodaux, 193031
Pine Bluff, 190379
Owensboro, 187574
Springfield, 187078
Ames, 186264
Provo-Orem, 182867
Trenton, 182053
Kahului-Wailuku-Lahaina, 181185
Grand Island, 178833
Glens Falls, 175736
Gettysburg, 163759
Atlantic City-Hammonton, 154117
Sebring, 152265
Homosassa Springs, 150527
Macon, 149792
Elmira, 149209
Farmington, 148542
Grants Pass, 142954
California-Lexington Park, 139265
Pittsfield, 139012
Modesto, 138319
Oxnard-Thousand Oaks-Ventura, 135388
Goldsboro, 133790
Morgantown, 129015
Flagstaff, 126529
Dover, 123830
Olympia-Tumwater, 122291
Redding, 117771
Midland, 115963
Watertown-Fort Drum, 111956
Manchester-Nashua, 107373
Lake Havasu City-Kingman, 107103
Altoona, 105802
Brunswick, 101603
Yakima, 101551
Barnstable Town, 101009
Florence, 99374
Beckley, 97464
Cape Girardeau, 94991
Salinas, 94895
El Centro, 93127
Appleton, 90283
Bellingham, 87507
Valdosta, 86706
Wenatchee, 85794
Janesville-Beloit, 85429
Walla Walla, 84254
Sebastian-Vero Beach, 83957
Santa Maria-Santa Barbara, 82258
East Stroudsburg, 73178
Bremerton-Silverdale, 71171
Ocean City, 68647
Burlington, 68548
Madera, 68001
Medford, 63086
Mount Vernon-Anacortes, 60182
Missoula, 57468
Yuma, 54876
Santa Rosa, 53364
Merced, 52382
Santa Cruz-Watsonville, 48924
Visalia-Porterville, 43528
Coeur d'Alene, 38304
Vallejo-Fairfield, 36646
Tucson, 35158
Sumter, 35073
Lewiston, 32963
San Luis Obispo-Paso Robles-Arroyo Grande, 32094
Lewiston-Auburn, 31157
Santa Fe, 31114
Longview, 30639
Corvallis, 30210
Hinesville, 28808
Fairbanks, 28068
Stockton-Lodi, 21467
Hanford-Corcoran, 18783
Dalton, 12865
Yuba City, 12735
State College, 12699
Sierra Vista-Douglas, 6372
St. George, 4558
Chico, 1121
Aguadilla-Isabela, 0
Albany, 0
Arecibo, 0
Bay City, 0
Bloomsburg-Berwick, 0
Canton-Massillon, 0
Carson City, 0
Chambersburg-Waynesboro, 0
Cleveland, 0
Columbus, 0
Cumberland, 0
Dothan, 0
Guayama, 0
Harrisonburg, 0
Hot Springs, 0
Johnson City, 0
Kingston, 0
Laredo, 0
Mayagüez, 0
Monroe, 0
Morristown, 0
Napa, 0
Ocala, 0
Parkersburg-Vienna, 0
Pocatello, 0
Ponce, 0
San Germán, 0
The Villages, 0
Weirton-Steubenville, 0